iter	Passed	Remaining
1041	6496	616979
1042	6502	616958
1043	6508	616930
1044	6514	616909
1045	6520	616880
1046	6526	616863
1047	6532	616834
1048	6538	616803
1049	6544	616779
1050	6551	616763
1051	6557	616735
1052	6565	616955
1053	6571	616933
1054	6577	616904
1055	6583	616882
1056	6589	616853
1057	6595	616837
1058	6602	616826
1059	6608	616818
1060	6614	616798
1061	6620	616769
1062	6626	616741
1063	6632	616707
1064	6638	616688
1065	6644	616680
1066	6650	616649
1067	6656	616648
1068	6662	616620
1069	6668	616592
1070	6674	616567
1071	6681	616547
1072	6687	616537
1073	6693	616508
1074	6699	616484
1075	6705	616477
1076	6711	616462
1077	6717	616447
1078	6723	616426
1079	6729	616395
1080	6735	616379
1081	6742	616364
1082	6748	616345
1083	6754	616318
1084	6760	616299
1085	6766	616274
1086	6772	616258
1087	6778	616238
1088	6784	616231
1089	6790	616216
1090	6796	616200
1091	6802	616176
1092	6809	616159
1093	6815	616137
1094	6821	616120
1095	6827	616111
1096	6833	616102
1097	6839	616081
1098	6845	616046
1099	6852	616061
1100	6858	616040
1101	6864	616033
1102	6870	616020
1103	6876	616005
1104	6882	615977
1105	6888	615951
1106	6894	615916
1107	6900	615906
1108	6906	615886
1109	6912	615857
1110	6918	615832
1111	6924	615825
1112	6931	615803
1113	6937	615793
1114	6943	615778
1115	6949	615763
1116	6955	615736
1117	6961	615716
1118	6967	615679
1119	6973	615673
1120	6979	615654
1121	6985	615634
1122	6991	615614
1123	6997	615596
1124	7004	615580
1125	7010	615576
1126	7016	615551
1127	7022	615527
1128	7028	615508
1129	7034	615490
1130	7040	615489
1131	7046	615465
1132	7052	615448
1133	7059	615428
1134	7065	615413
1135	7071	615408
1136	7136	620551
1137	7143	620549
1138	7149	620549
1139	7155	620542
1140	7161	620521
1141	7168	620505
1142	7173	620463
1143	7179	620441
1144	7186	620413
1145	7192	620399
1146	7198	620378
1147	7204	620353
1148	7210	620329
1149	7216	620294
1150	7222	620275
1151	7228	620248
1152	7234	620236
1153	7240	620215
1154	7246	620191
1155	7252	620166
1156	7259	620139
1157	7264	620109
1158	7271	620084
1159	7277	620052
1160	7282	620020
1161	7289	619995
1162	7295	619992
1163	7301	619974
1164	7307	619948
1165	7313	619935
1166	7319	619902
1167	7325	619878
1168	7331	619859
1169	7337	619826
1170	7343	619805
1171	7350	619784
1172	7355	619734
1173	7362	619732
1174	7368	619705
1175	7374	619688
1176	7380	619661
1177	7386	619639
1178	7392	619606
1179	7398	619576
1180	7404	619558
1181	7410	619521
1182	7416	619488
1183	7422	619477
1184	7428	619464
1185	7434	619442
1186	7440	619422
1187	7446	619392
1188	7452	619370
1189	7459	619351
1190	7465	619344
1191	7471	619328
1192	7477	619310
1193	7483	619294
1194	7489	619268
1195	7495	619242
1196	7501	619219
1197	7507	619203
1198	7513	619164
1199	7519	619138
1200	7525	619113
1201	7532	619092
1202	7538	619062
1203	7544	619048
1204	7550	619026
1205	7556	619024
1206	7562	619006
1207	7568	618991
1208	7574	618975
1209	7581	618956
1210	7587	618940
1211	7593	618923
1212	7599	618905
1213	7605	618873
1214	7611	618868
1215	7617	618849
1216	7624	618837
1217	7630	618818
1218	7636	618802
1219	7642	618779
1220	7648	618766
1221	7654	618751
1222	7660	618729
1223	7666	618705
1224	7672	618690
1225	7679	618669
1226	7685	618653
1227	7691	618641
1228	7697	618627
1229	7703	618608
1230	7709	618599
1231	7716	618583
1232	7722	618573
1233	7728	618552
1234	7734	618534
1235	7740	618507
1236	7746	618493
1237	7752	618472
1238	7758	618458
1239	7764	618434
1240	7770	618409
1241	7776	618388
1242	7783	618370
1243	7789	618364
1244	7795	618362
1245	7801	618328
1246	7807	618303
1247	7813	618285
1248	7819	618273
1249	7826	618264
1250	7832	618253
1251	7838	618239
1252	7844	618220
1253	7850	618207
1254	7856	618190
1255	7863	618178
1256	7869	618173
1257	7875	618153
1258	7881	618136
1259	7887	618119
1260	7893	618106
1261	7899	618081
1262	7906	618064
1263	7912	618045
1264	7918	618045
1265	7924	618037
1266	7930	618012
1267	7936	617987
1268	7942	617975
1269	7948	617954
1270	7955	617933
1271	7961	617916
1272	7967	617954
1273	7974	617943
1274	7980	617931
1275	7986	617918
1276	7992	617901
1277	7998	617889
1278	8005	617898
1279	8011	617884
1280	8017	617862
1281	8023	617847
1282	8029	617839
1283	8036	617828
1284	8042	617818
1285	8048	617806
1286	8054	617791
1287	8060	617771
1288	8066	617764
1289	8072	617739
1290	8079	617720
1291	8085	617691
1292	8091	617677
1293	8097	617671
1294	8103	617648
1295	8109	617628
1296	8115	617603
1297	8121	617586
1298	8170	620850
1299	8201	622659
1300	8207	622661
1301	8214	622661
1302	8220	622654
1303	8226	622643
1304	8232	622640
1305	8239	622619
1306	8245	622597
1307	8251	622582
1308	8257	622574
1309	8263	622545
1310	8269	622532
1311	8275	622512
1312	8282	622488
1313	8288	622460
1314	8294	622442
1315	8300	622413
1316	8306	622395
1317	8312	622372
1318	8318	622339
1319	8330	622740
1320	8336	622737
1321	8342	622730
1322	8348	622712
1323	8355	622705
1324	8361	622705
1325	8367	622676
1326	8373	622659
1327	8379	622639
1328	8386	622646
1329	8393	622683
1330	8399	622669
1331	8405	622643
1332	8411	622610
1333	8417	622594
1334	8423	622566
1335	8429	622546
1336	8436	622572
1337	8442	622560
1338	8448	622532
1339	8454	622507
1340	8461	622494
1341	8467	622472
1342	8473	622461
1343	8479	622450
1344	8485	622428
1345	8491	622413
1346	8498	622390
1347	8504	622365
1348	8510	622347
1349	8516	622333
1350	8522	622317
1351	8528	622292
1352	8534	622270
1353	8540	622249
1354	8546	622227
1355	8553	622207
1356	8559	622187
1357	8565	622170
1358	8571	622155
1359	8577	622133
1360	8583	622113
1361	8589	622097
1362	8596	622073
1363	8602	622046
1364	8608	622020
1365	8614	622011
1366	8620	621982
1367	8626	621957
1368	8632	621934
1369	8638	621919
1370	8644	621902
1371	8650	621882
1372	8657	621861
1373	8663	621849
1374	8669	621836
1375	8675	621813
1376	8681	621796
1377	8687	621765
1378	8693	621736
1379	8699	621730
1380	8706	621711
1381	8712	621696
1382	8718	621673
1383	8724	621642
1384	8730	621632
